objid,rerun,run,camcol,field,z,photoRA,photoDec,class
1.23766230780412E+018,301,3919,6,142,0.5044495,226.1264963847,35.775374982,GALAXY
1.23766230619148E+018,301,3919,3,111,0.532896,220.1674852564,36.5545472614,GALAXY
1.23766219453851E+018,301,3893,3,358,0.3031963,219.9595484393,36.7050262955,GALAXY
1.23766219400171E+018,301,3893,2,359,0.6521298,219.9886600482,36.4267740941,GALAXY
1.23766219400177E+018,301,3893,2,360,0.5518124,220.2030412426,36.3041743173,GALAXY
1.23766219400164E+018,301,3893,2,358,0.6168241,219.9440427482,36.3748593633,GALAXY
1.23766219400164E+018,301,3893,2,358,0.4911172,219.9062917605,36.3481799933,GALAXY
1.23766219400184E+018,301,3893,2,361,0.6136841,220.289112189,36.2028374009,GALAXY
1.23766219400184E+018,301,3893,2,361,0.486175,220.4234957197,36.1738627376,GALAXY
1.2376623056548E+018,301,3919,2,114,0.6541258,220.3995310984,36.0235076131,GALAXY
1.2376621940019E+018,301,3893,2,362,0.5324442,220.4235770868,36.1288187406,GALAXY
1.23766219400184E+018,301,3893,2,361,0.5295612,220.4020913377,36.107613451,GALAXY
1.23766230565474E+018,301,3919,2,113,0.4811364,220.3417615453,36.0462879101,GALAXY
1.2376623056548E+018,301,3919,2,114,0.5460315,220.3605717317,35.9259259701,GALAXY
1.2376623056548E+018,301,3919,2,114,0.4909229,220.3715442503,35.8584850812,GALAXY
1.2376623056548E+018,301,3919,2,114,0.4929918,220.4536758922,35.9485773586,GALAXY
1.2376623056548E+018,301,3919,2,114,0.3549944,220.406321275,35.8533842708,GALAXY
1.23766219346503E+018,301,3893,1,362,0.4891187,220.294002891,35.8407997686,GALAXY
1.23766266428221E+018,301,4002,6,78,0.6443416,220.125992059,35.7905818836,GALAXY
1.23766266428221E+018,301,4002,6,78,0.4881772,220.1816174211,35.7424484056,GALAXY
1.2376621934651E+018,301,3893,1,363,0.4900475,220.4352995778,35.7384288322,GALAXY
1.23766266428228E+018,301,4002,6,79,0.3491799,220.3295162414,35.7050131621,GALAXY
1.23766230672841E+018,301,3919,4,112,0.6308097,220.4941861557,36.8254224443,GALAXY
1.23766230672835E+018,301,3919,4,111,0.608214,220.3428661186,36.8769077213,GALAXY
1.23764872014253E+018,301,756,1,208,0.2138606,146.9194542395,-0.9905229447,GALAXY
1.23765079514651E+018,301,1239,2,176,0.4482199,146.763372344,-0.8104335851,GALAXY
1.2376487201424E+018,301,756,1,206,0.3711277,146.6227956523,-0.9513666462,GALAXY
1.23765079514658E+018,301,1239,2,177,0.1212705,146.9341205179,-0.6704051311,GALAXY
1.23765079514664E+018,301,1239,2,178,0.09708638,146.9635160281,-0.75933158,GALAXY
1.23766263583651E+018,301,3996,1,207,0.1774898,235.2007672738,8.8100223707,GALAXY
1.23766219989746E+018,301,3894,5,209,0.1037483,235.1807869993,8.6209479075,GALAXY
1.23766219989752E+018,301,3894,5,210,0.1253038,235.3392254199,8.5780296999,GALAXY
1.23766219989739E+018,301,3894,5,208,0.1613491,235.0615598295,8.6245333471,GALAXY
1.23766253328558E+018,301,3972,2,76,0.1032566,235.1172315956,8.9407406519,GALAXY
1.23766263583651E+018,301,3996,1,207,0.1013291,235.1523949463,8.8286282148,GALAXY
1.23766219989746E+018,301,3894,5,209,0.1031189,235.199030661,8.6300119948,GALAXY
1.23766220043426E+018,301,3894,6,208,0.09945007,235.1691335662,9.0325707911,GALAXY
1.23766219989739E+018,301,3894,5,208,0.180445,235.0190894767,8.560608843,GALAXY
1.23766219989752E+018,301,3894,5,210,0.1249278,235.3212724519,8.634011776,GALAXY
1.2376622004342E+018,301,3894,6,207,0.09948659,235.0239097587,8.9836061139,GALAXY
